"sequencehash","timestamptime","sourcehash","experimentalunithash","grouphash","sessionhash"
"00459d0611bec1abff2cae866e87f684","04/12/2007 11:17:00","79e0c2ef5a35b0fd03c73ba6747b1db3","8db306fa4c93fdb68d89cca1e04f53be","513772ee53011ad9f4dc374b2d34d0e9","ff9ab64bad1051e40486ff32f855ff8d"
"0b338b1f1303f475d400042284b1adf3","04/12/2007 10:54:00","b3328e9cecb49d1c4b0352716770c0f3","8db306fa4c93fdb68d89cca1e04f53be","f617868bd8c41043dc4bebc7952c7024","ff9ab64bad1051e40486ff32f855ff8d"
"0bcf3aa28f1f7909acece88a4c617ec4","03/12/2007 15:59:00","8a6a5a808b9ac413b2070f322cff998b","553065962c72a797e3e44ab8e90c8317","9ae984b8b7e71ee69caf0a7b82b31b1e","7cd3f95e21c9afacd749dc5ccda20ca7"
"0e918b29e2135d64d6d196ea0f87a266","03/12/2007 15:29:00","43a351a1b8ba0b43d3125a1cb538371f","553065962c72a797e3e44ab8e90c8317","78733d0dd44e9bbca1d931c569676531","7cd3f95e21c9afacd749dc5ccda20ca7"
"0ece65713dd9456ef2a0b8ce80f98efc","04/12/2007 11:10:00","cf9f945b3d44e10807b7d959f482b2b9","8db306fa4c93fdb68d89cca1e04f53be","7482e3a8f51c9b67566901002aeb9a99","ff9ab64bad1051e40486ff32f855ff8d"
"0fb4340c60177e252c4f6a880c3b8093","04/12/2007 14:57:00","f18a09d78e2a7dc0436810ca212cae7b","b6d63dc5b360d72996be0abca4a52574","baf5d52135cbcd978e0083939e9f3071","cb850f82a681942caf9e8e5ed15ea05c"
"11b0b4daf5fdc5b7ee5c577350e6d78a","03/12/2007 00:57:00","cfd1823d2d49990fa3de7b7263cca20b","c0b290422c3334d3e2880f9b41c77ab1","513772ee53011ad9f4dc374b2d34d0e9","0f06d4714d24a070a27c873367761c32"
"13a4a73eb617d34c62d3280edbe94fdc","03/12/2007 00:40:00","c0b7a25004fb35229316dd7fcfc3ede9","c0b290422c3334d3e2880f9b41c77ab1","80c4e9d9f8c9cf9a9fb92f9ccda68a77","0f06d4714d24a070a27c873367761c32"
"150f8eea4d6d71c0db29e8ef3bd1e549","03/12/2007 16:47:00","311242a48cd584912009b9754e6689d0","02a2f9c9ae9afa1e2d90565b11d5b29b","80c4e9d9f8c9cf9a9fb92f9ccda68a77","2ec4ad86f1b5b92b04a25143ea13c2c7"
"158f5ede0d7373a473a4ae463d71e3a9","06/12/2007 16:47:00","6b49633797e3b2492e13134dd01c0836","ee8988c76f84da3ff51d905cb68d5435","7482e3a8f51c9b67566901002aeb9a99","709a01ee94c210f3478a286342a20544"
"1b01002787c35997e6475d9348a6583d","04/12/2007 11:10:00","dc8985a12b37d82f6169a35dd5873257","8db306fa4c93fdb68d89cca1e04f53be","9ae984b8b7e71ee69caf0a7b82b31b1e","ff9ab64bad1051e40486ff32f855ff8d"
"1ef43c5072d36e666b2e73d895fd8198","06/12/2007 16:47:00","254c9bcabe5a5f8bd19e5f406b063325","ee8988c76f84da3ff51d905cb68d5435","9ae984b8b7e71ee69caf0a7b82b31b1e","709a01ee94c210f3478a286342a20544"
"1f351771af0e8a396f7491ec6943f761","04/12/2007 12:18:00","3dcd7988ce2d2a67cb63edd548486019","887b419552d85ea9bdec287aabfaf9e7","459c3124a4ef92f33444a1c75a5c97a6","48761514e0093135e96369e1f73d1947"
"211085d7f242f2ce43eeb50f1ebd1509","03/12/2007 00:40:00","3f0bc5cad3b1045283789d77ca34f556","c0b290422c3334d3e2880f9b41c77ab1","f617868bd8c41043dc4bebc7952c7024","0f06d4714d24a070a27c873367761c32"
"269a8d3bf578dde03dd9ff21a62ab1d9","04/12/2007 12:25:00","d1360758393a81d15476754d2d2760c5","887b419552d85ea9bdec287aabfaf9e7","349179a97c96b2d8be485d7ab7f48c04","48761514e0093135e96369e1f73d1947"
"26e43ba0e955afff549d29500a65c710","04/12/2007 14:49:00","9a7874f54ddd59ce789bf6b2166f037c","b6d63dc5b360d72996be0abca4a52574","146ae49a15013e8c374ed396911d7ff9","cb850f82a681942caf9e8e5ed15ea05c"
"2987661e154071c035774194ff7ee1ae","03/12/2007 00:50:00","b4258d2d62afc76f932ee0c9ddf57296","c0b290422c3334d3e2880f9b41c77ab1","9ae984b8b7e71ee69caf0a7b82b31b1e","0f06d4714d24a070a27c873367761c32"
"2b17652da27a8a91ad8587a231addbc3","03/12/2007 15:48:00","8b50661c0b3da7b028ca7d3c6ebe539b","553065962c72a797e3e44ab8e90c8317","28f745f0b69377f5f945845a36cce4a1","7cd3f95e21c9afacd749dc5ccda20ca7"
"2b222a394ad95b9ed7bba2ad06fc2ea1","03/12/2007 15:59:00","4d3a0b8b351ae2327bd7f1572f9a47b5","553065962c72a797e3e44ab8e90c8317","f925a92696859cd7e4ad68dad5af6ba4","7cd3f95e21c9afacd749dc5ccda20ca7"
"2c2a1a9bcd6dc930cba1ace766a93e93","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","c0b290422c3334d3e2880f9b41c77ab1","459c3124a4ef92f33444a1c75a5c97a6","0f06d4714d24a070a27c873367761c32"
"2dc8549d16c1678cda3eeada194d51b1","04/12/2007 12:38:00","7aa54518e6a47611c35552c5989d5906","887b419552d85ea9bdec287aabfaf9e7","f925a92696859cd7e4ad68dad5af6ba4","48761514e0093135e96369e1f73d1947"
"305e30f31fad10e9d7eab9061cc4f9f1","04/12/2007 14:49:00","24cfcbb6c9d079cc38db61a37dc1e986","b6d63dc5b360d72996be0abca4a52574","513772ee53011ad9f4dc374b2d34d0e9","cb850f82a681942caf9e8e5ed15ea05c"
"33dbedfd0c61dcaf0f241ff5971a67f0","04/12/2007 11:01:00","c0faf26d2530ca72acb2c188df3d9729","8db306fa4c93fdb68d89cca1e04f53be","28f745f0b69377f5f945845a36cce4a1","ff9ab64bad1051e40486ff32f855ff8d"
"3b4ac684843a8cca25eb61a3ec3c6d68","03/12/2007 16:55:00","6b3dc045e3a98709ca1b0c290714946d","02a2f9c9ae9afa1e2d90565b11d5b29b","28f745f0b69377f5f945845a36cce4a1","2ec4ad86f1b5b92b04a25143ea13c2c7"
"3edefe32257309671055d61bca83acb8","03/12/2007 17:13:00","ded0b4d99ff0f0884a5040da986f3681","02a2f9c9ae9afa1e2d90565b11d5b29b","7482e3a8f51c9b67566901002aeb9a99","2ec4ad86f1b5b92b04a25143ea13c2c7"
"3f6c08f538711722ceb03885abd39a19","04/12/2007 12:38:00","ee564084bd329420db37506e809f1b55","887b419552d85ea9bdec287aabfaf9e7","9ae984b8b7e71ee69caf0a7b82b31b1e","48761514e0093135e96369e1f73d1947"
"432b2c4584c60cd3bcf7d04ad4af9d19","04/12/2007 14:57:00","3a1298e05dd25196e0bcd11410ee53ba","b6d63dc5b360d72996be0abca4a52574","28f745f0b69377f5f945845a36cce4a1","cb850f82a681942caf9e8e5ed15ea05c"
"48a7005fb9c3c2ee086be38b9544e14d","04/12/2007 12:18:00","fbd1e543a5cdcd8028286374eabc87cf","887b419552d85ea9bdec287aabfaf9e7","146ae49a15013e8c374ed396911d7ff9","48761514e0093135e96369e1f73d1947"
"4b23b5eadb9a4e595b069a474e8af4e8","04/12/2007 12:10:00","4f80c546b5c3657d3d79a13fa57dddaa","887b419552d85ea9bdec287aabfaf9e7","f617868bd8c41043dc4bebc7952c7024","48761514e0093135e96369e1f73d1947"
"5153ab451a0ca9f6d282c114cbc2b0cf","03/12/2007 00:50:00","d8189b34460fab7a0f21969ca3559697","c0b290422c3334d3e2880f9b41c77ab1","f925a92696859cd7e4ad68dad5af6ba4","0f06d4714d24a070a27c873367761c32"
"518aba3b5a6ee29dc894e52a0d3499b3","03/12/2007 00:50:00","78c0b7c93b6491a6bac81245752cc429","c0b290422c3334d3e2880f9b41c77ab1","7482e3a8f51c9b67566901002aeb9a99","0f06d4714d24a070a27c873367761c32"
"551840b1aa6ba6aadc175083b45f8d21","03/12/2007 16:55:00","575c9adc04a3a4ec723f86d5f9b78bcf","02a2f9c9ae9afa1e2d90565b11d5b29b","349179a97c96b2d8be485d7ab7f48c04","2ec4ad86f1b5b92b04a25143ea13c2c7"
"56d7bab60c941d2ef4b2735540c0b457","03/12/2007 01:07:00","34e0b98673ceaefc976d39cfeb21530d","c0b290422c3334d3e2880f9b41c77ab1","349179a97c96b2d8be485d7ab7f48c04","0f06d4714d24a070a27c873367761c32"
"5736e3be71827277a8183ce497e9df8d","04/12/2007 11:10:00","fb964a796a392235c50c703d77b047e1","8db306fa4c93fdb68d89cca1e04f53be","f925a92696859cd7e4ad68dad5af6ba4","ff9ab64bad1051e40486ff32f855ff8d"
"67f78ddc12a948650db6e0203c1c19ac","03/12/2007 15:29:00","278df21254e6cd9ec8303da93cfda291","553065962c72a797e3e44ab8e90c8317","80c4e9d9f8c9cf9a9fb92f9ccda68a77","7cd3f95e21c9afacd749dc5ccda20ca7"
"68e4b015ab24586e9c73e9fee5375942","03/12/2007 17:13:00","364e9990f2f4e835a0b953f56bfb2e1f","02a2f9c9ae9afa1e2d90565b11d5b29b","9ae984b8b7e71ee69caf0a7b82b31b1e","2ec4ad86f1b5b92b04a25143ea13c2c7"
"6c2ceb0e475e4f8b43d21d0028349326","03/12/2007 16:47:00","5d92dc230627afec7ca44c3a62d864f3","02a2f9c9ae9afa1e2d90565b11d5b29b","78733d0dd44e9bbca1d931c569676531","2ec4ad86f1b5b92b04a25143ea13c2c7"
"6d7cc0745be0a1bdcba82f4f902b7c60","03/12/2007 15:48:00","bd17c673d781ad95de5e7fd53a90e941","553065962c72a797e3e44ab8e90c8317","349179a97c96b2d8be485d7ab7f48c04","7cd3f95e21c9afacd749dc5ccda20ca7"
"6ee9c935773b9e6c6857e6e8e7915923","06/12/2007 16:47:00","ac9f6d40da40e93c1fdc2e549c96b2ba","ee8988c76f84da3ff51d905cb68d5435","f925a92696859cd7e4ad68dad5af6ba4","709a01ee94c210f3478a286342a20544"
"75e36c94b96b4070122b8246a2cc59e3","03/12/2007 17:05:00","35b310d39200fd31c8d1291cadc6e267","02a2f9c9ae9afa1e2d90565b11d5b29b","146ae49a15013e8c374ed396911d7ff9","2ec4ad86f1b5b92b04a25143ea13c2c7"
"7976233373efbe9835adb10a9f7321f8","03/12/2007 01:07:00","13e46e424b577c69b2a7c0d17494c7a5","c0b290422c3334d3e2880f9b41c77ab1","baf5d52135cbcd978e0083939e9f3071","0f06d4714d24a070a27c873367761c32"
"7db478437cba7e44ce17797e5cbde590","04/12/2007 14:29:00","f26a3b67af1b0a4e2880254920c0b781","b6d63dc5b360d72996be0abca4a52574","80c4e9d9f8c9cf9a9fb92f9ccda68a77","cb850f82a681942caf9e8e5ed15ea05c"
"7e229a8f82195cfbe9a1abdbc9966cfa","04/12/2007 11:17:00","c047fcfc1d60c7432559eaff381043b0","8db306fa4c93fdb68d89cca1e04f53be","146ae49a15013e8c374ed396911d7ff9","ff9ab64bad1051e40486ff32f855ff8d"
"8037dae6fab6d544ac82826afd6f8250","04/12/2007 12:25:00","68ce394d53b822012b9de06842bda427","887b419552d85ea9bdec287aabfaf9e7","baf5d52135cbcd978e0083939e9f3071","48761514e0093135e96369e1f73d1947"
"8490b51325466d803e1adea91a4c085c","04/12/2007 10:54:00","3ea5a4e5be13a23ee69a0b2c22b41f44","8db306fa4c93fdb68d89cca1e04f53be","80c4e9d9f8c9cf9a9fb92f9ccda68a77","ff9ab64bad1051e40486ff32f855ff8d"
"86e92f120fa45791add7bcb91478db72","04/12/2007 12:10:00","892ecac1ff7987c8d558897340c54111","887b419552d85ea9bdec287aabfaf9e7","78733d0dd44e9bbca1d931c569676531","48761514e0093135e96369e1f73d1947"
"88d93e995941a5eee9d8c961f7f12c70","04/12/2007 14:29:00","ff5a707468e9c1da8e0d328313907205","b6d63dc5b360d72996be0abca4a52574","f617868bd8c41043dc4bebc7952c7024","cb850f82a681942caf9e8e5ed15ea05c"
"8edb582791f5f09b0bf2787ed03f26ca","03/12/2007 00:57:00","e55460c7bfbd94b4803e6ace6cca9717","c0b290422c3334d3e2880f9b41c77ab1","146ae49a15013e8c374ed396911d7ff9","0f06d4714d24a070a27c873367761c32"
"8efa0f48d276a6df1bdc75e4e238071d","03/12/2007 15:59:00","51de8f744eefd46cfc6d94afb3da9f2e","553065962c72a797e3e44ab8e90c8317","7482e3a8f51c9b67566901002aeb9a99","7cd3f95e21c9afacd749dc5ccda20ca7"
"956f2147fc239d23dd8436ee3793a205","03/12/2007 17:05:00","d87e9982e3c759589dfa38a14ba75a00","02a2f9c9ae9afa1e2d90565b11d5b29b","513772ee53011ad9f4dc374b2d34d0e9","2ec4ad86f1b5b92b04a25143ea13c2c7"
"989311b2d24adb82af2e46465148ddc1","04/12/2007 11:17:00","d0a4188318989d1d530a7b0e14bbd852","8db306fa4c93fdb68d89cca1e04f53be","459c3124a4ef92f33444a1c75a5c97a6","ff9ab64bad1051e40486ff32f855ff8d"
"99395f4c55a8253ba34d84ae443f1647","04/12/2007 14:49:00","5362ff3bd35cfb5426a7b9f067e72505","b6d63dc5b360d72996be0abca4a52574","459c3124a4ef92f33444a1c75a5c97a6","cb850f82a681942caf9e8e5ed15ea05c"
"a731644536b927b6741382809ce43c44","04/12/2007 14:57:00","8216b910b43e7cd632fc9de702010368","b6d63dc5b360d72996be0abca4a52574","349179a97c96b2d8be485d7ab7f48c04","cb850f82a681942caf9e8e5ed15ea05c"
"a968e32c555353bc5bbefa5b21f41f13","04/12/2007 11:01:00","f273a0a29ebb84c766c5ef7965e2bb8e","8db306fa4c93fdb68d89cca1e04f53be","349179a97c96b2d8be485d7ab7f48c04","ff9ab64bad1051e40486ff32f855ff8d"
"ad54386931ab25aae980f37e21338f2e","04/12/2007 14:40:00","9d8c94d322f87cac0fd11078b3d1294d","b6d63dc5b360d72996be0abca4a52574","9ae984b8b7e71ee69caf0a7b82b31b1e","cb850f82a681942caf9e8e5ed15ea05c"
"ae5ed642273029179e22afbdf542be60","03/12/2007 17:05:00","2a0f583b4cefb647d81cbde52f360fbf","02a2f9c9ae9afa1e2d90565b11d5b29b","459c3124a4ef92f33444a1c75a5c97a6","2ec4ad86f1b5b92b04a25143ea13c2c7"
"afb4e911f7c63626a79c13b0a891d654","03/12/2007 15:48:00","c732e28dd274f21103afb40ffdf82d5d","553065962c72a797e3e44ab8e90c8317","baf5d52135cbcd978e0083939e9f3071","7cd3f95e21c9afacd749dc5ccda20ca7"
"b082b230ecd57e873ef6708663cd4d74","03/12/2007 16:47:00","cc6d14d284faae7363423baa2f89f09b","02a2f9c9ae9afa1e2d90565b11d5b29b","f617868bd8c41043dc4bebc7952c7024","2ec4ad86f1b5b92b04a25143ea13c2c7"
"b487e18ebd9141f9cb579b992df9d265","04/12/2007 12:18:00","3d69dade3760de0ac05428f4abd66326","887b419552d85ea9bdec287aabfaf9e7","513772ee53011ad9f4dc374b2d34d0e9","48761514e0093135e96369e1f73d1947"
"b53460fa7e67bc33c8d28445dc2217e7","04/12/2007 12:10:00","8aca925c04299bd5a4062cd1e7e37a54","887b419552d85ea9bdec287aabfaf9e7","80c4e9d9f8c9cf9a9fb92f9ccda68a77","48761514e0093135e96369e1f73d1947"
"bb4f3db4c7552045431b5e287a32f7d8","04/12/2007 14:40:00","0edf147d9b6dde6350b30e4d61a64354","b6d63dc5b360d72996be0abca4a52574","f925a92696859cd7e4ad68dad5af6ba4","cb850f82a681942caf9e8e5ed15ea05c"
"bf893af907596515ce6349e56ee2aafb","03/12/2007 00:40:00","dc1a6106f02d9c2ab6752f783bc774f5","c0b290422c3334d3e2880f9b41c77ab1","78733d0dd44e9bbca1d931c569676531","0f06d4714d24a070a27c873367761c32"
"c5ebe27eefbfff18ed81d1a8f582f097","03/12/2007 17:13:00","0e88ea502f01f69add202c983d3a5e79","02a2f9c9ae9afa1e2d90565b11d5b29b","f925a92696859cd7e4ad68dad5af6ba4","2ec4ad86f1b5b92b04a25143ea13c2c7"
"cc29c70e724e5b73abe387e6753c9083","04/12/2007 14:29:00","403eb92034f2a8776bcac164ffc593f3","b6d63dc5b360d72996be0abca4a52574","78733d0dd44e9bbca1d931c569676531","cb850f82a681942caf9e8e5ed15ea05c"
"ce74bc65597006685d188b97def24fa8","03/12/2007 15:38:00","b82b37ec8f57a082570f5429d7c79aa3","553065962c72a797e3e44ab8e90c8317","146ae49a15013e8c374ed396911d7ff9","7cd3f95e21c9afacd749dc5ccda20ca7"
"cec30170b94e7db106c163abb80830ae","04/12/2007 14:40:00","1ad6e603d1fb00cad2b7e71db0c26eb1","b6d63dc5b360d72996be0abca4a52574","7482e3a8f51c9b67566901002aeb9a99","cb850f82a681942caf9e8e5ed15ea05c"
"d0a02b94ce4ff8929bb0ef5261aa1892","03/12/2007 01:07:00","4ac5474ef032482790d25cac77345ba2","c0b290422c3334d3e2880f9b41c77ab1","28f745f0b69377f5f945845a36cce4a1","0f06d4714d24a070a27c873367761c32"
"d84df9d489c84131ea61ce5bddbd7018","04/12/2007 10:54:00","36a8da923c6936a349d09758761c4819","8db306fa4c93fdb68d89cca1e04f53be","78733d0dd44e9bbca1d931c569676531","ff9ab64bad1051e40486ff32f855ff8d"
"dc1fcb3d27c102f771c17b68661db85b","03/12/2007 16:55:00","0ef7ef121d00062b4ae2df2326c02b55","02a2f9c9ae9afa1e2d90565b11d5b29b","baf5d52135cbcd978e0083939e9f3071","2ec4ad86f1b5b92b04a25143ea13c2c7"
"e437b3bd394b387ecd1b1b4424bb1f80","04/12/2007 12:38:00","6c84bff665d426a202768b5f78b1bc13","887b419552d85ea9bdec287aabfaf9e7","7482e3a8f51c9b67566901002aeb9a99","48761514e0093135e96369e1f73d1947"
"e6151eba3f55a3a7d53e6ac608aa40e0","03/12/2007 15:38:00","6eaeb46ebc05a4d97206a3960072272c","553065962c72a797e3e44ab8e90c8317","459c3124a4ef92f33444a1c75a5c97a6","7cd3f95e21c9afacd749dc5ccda20ca7"
"ed1e76c5b91ff788298a95bf2c9b4e9f","03/12/2007 15:38:00","04f0f98ac342523622722bf00afecb1f","553065962c72a797e3e44ab8e90c8317","513772ee53011ad9f4dc374b2d34d0e9","7cd3f95e21c9afacd749dc5ccda20ca7"
"f2a350e2431e9eae136ec23a311524b5","04/12/2007 11:01:00","7bb84c357a51b975d772cfad2f95a028","8db306fa4c93fdb68d89cca1e04f53be","baf5d52135cbcd978e0083939e9f3071","ff9ab64bad1051e40486ff32f855ff8d"
"f825ae2c041527d924cc88a03224c584","04/12/2007 12:25:00","cd0472a5e75401a5481a050179bdd7c4","887b419552d85ea9bdec287aabfaf9e7","28f745f0b69377f5f945845a36cce4a1","48761514e0093135e96369e1f73d1947"
"f85c2a08254c613810abae9158d306e1","03/12/2007 15:29:00","40ef2225f2364abb53c4e0a257e27c85","553065962c72a797e3e44ab8e90c8317","f617868bd8c41043dc4bebc7952c7024","7cd3f95e21c9afacd749dc5ccda20ca7"
