"sequencehash","timestamptime","sourcehash","experimenthash","iscofactor"
"334c075d5a9a1f466dfc2ae919168de0","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"47fdf5b086faced3e6af974c8bdc48a6","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"601b0d411f240d21ef1c0dd520636e43","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"635572ac9e9733d02629380e5b5226b7","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"7413cc62fc90ff1611c72cf14c110756","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"822a91e8068da081c85c6d24279a010d","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"86b4e81491d7ce57e5dc6538a236efa9","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"a5aa1879d180ae002106ce09e55cd018","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"d50ffd2559d048e6757a9dab80c0e436","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
"db41bf97ad0a7323bba0e77b750ac883","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","2c2a1a9bcd6dc930cba1ace766a93e93",False
