"sequencehash","timestamptime","sourcehash","treatmenthash"
"146ae49a15013e8c374ed396911d7ff9","03/12/2007 00:57:00","e55460c7bfbd94b4803e6ace6cca9717","e786a904fdc2f80b91287be72d8715b5"
"28f745f0b69377f5f945845a36cce4a1","03/12/2007 01:07:00","4ac5474ef032482790d25cac77345ba2","e786a904fdc2f80b91287be72d8715b5"
"349179a97c96b2d8be485d7ab7f48c04","03/12/2007 01:07:00","34e0b98673ceaefc976d39cfeb21530d","e786a904fdc2f80b91287be72d8715b5"
"459c3124a4ef92f33444a1c75a5c97a6","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","e786a904fdc2f80b91287be72d8715b5"
"513772ee53011ad9f4dc374b2d34d0e9","03/12/2007 00:57:00","cfd1823d2d49990fa3de7b7263cca20b","e786a904fdc2f80b91287be72d8715b5"
"7482e3a8f51c9b67566901002aeb9a99","03/12/2007 00:50:00","78c0b7c93b6491a6bac81245752cc429","e786a904fdc2f80b91287be72d8715b5"
"78733d0dd44e9bbca1d931c569676531","03/12/2007 00:40:00","dc1a6106f02d9c2ab6752f783bc774f5","e786a904fdc2f80b91287be72d8715b5"
"80c4e9d9f8c9cf9a9fb92f9ccda68a77","03/12/2007 00:40:00","c0b7a25004fb35229316dd7fcfc3ede9","e786a904fdc2f80b91287be72d8715b5"
"9ae984b8b7e71ee69caf0a7b82b31b1e","03/12/2007 00:50:00","b4258d2d62afc76f932ee0c9ddf57296","e786a904fdc2f80b91287be72d8715b5"
"baf5d52135cbcd978e0083939e9f3071","03/12/2007 01:07:00","13e46e424b577c69b2a7c0d17494c7a5","e786a904fdc2f80b91287be72d8715b5"
"f617868bd8c41043dc4bebc7952c7024","03/12/2007 00:40:00","3f0bc5cad3b1045283789d77ca34f556","e786a904fdc2f80b91287be72d8715b5"
"f925a92696859cd7e4ad68dad5af6ba4","03/12/2007 00:50:00","d8189b34460fab7a0f21969ca3559697","e786a904fdc2f80b91287be72d8715b5"
